iau_id1,eng_name,orig_name,foundedyr,yrclosed,private01,divisions,phd_granting,specialized,countrycode,latitude,longitude
IAU-026877-1,Changchun University Of Finance And Economics,Changchun Caijing Xueyuan,1988,,1,11,0,0,CHN,43.816638,125.442365
IAU-026878-1,The Tourism College Of Changchun University,Changchun Daxue L??you Xueyuan (TCCU),2006,,1,5,0,0,CHN,43.690693,125.520664
IAU-026879-1,College Of Humanities & Sciences Of Northeast Normal University,Dongbei Shifan Daxue Renwen Xueyuan,1988,,1,12,0,0,CHN,43.8240078,125.4124086
IAU-026881-1,College Of Arts & Sciences,Chengdu Wenli Xueyuan (CAS),1999,,1,12,0,1,CHN,30.610531,104.164342
IAU-026882-1,Sichuan Technology And Business University,Sichuan Gongshang Xueyuan,2001,,1,12,0,0,CHN,30.82348,103.9811
IAU-026883-1,Chengdu Institute Sichuan International Studies University,Sichuan Waiguoyu Daxue Chengdu Xueyuan,2002,,1,14,0,1,CHN,30.7836939,103.7785944
IAU-026884-1,Sichuan Institute Of Industrial Technology,Sichuan Gongye Keji Xueyuan,2014,,1,10,0,1,CHN,44.435209,-65.213655
IAU-026885-1,Tianfu College Of Swufe,Xinan Caijing Daxue Tianfu Xueyuan,2006,,1,9,0,0,CHN,30.662819,104.016322
IAU-026886-1,Sichuan University Of Culture And Arts,Sichuan Wenhua Yishu Xueyuan,2001,,1,14,0,1,CHN,43.8686421,-79.2816774
IAU-026887-1,"City College, Southwest University Of Science And Technology",Xinan Keji Daxue Chengshi Xueyuan,2006,,1,4,0,0,CHN,31.443738,104.795135
IAU-026888-1,Sichuan Film And Television University,Xinan Jiaotong Daxue Xiwang Xueyuan,2009,,1,5,0,0,CHN,30.724051,104.026606
IAU-026889-1,Sichuan Film And Television University,Sichuan Dianying Dianshi Xueyuan,1992,,1,18,0,0,CHN,30.724051,104.026606
IAU-026896-1,College Of Science And Technology Hnut,Hunan Gongye Daxue Keji Xueyuan,2001,,1,0,0,0,CHN,27.83687,113.17586
IAU-026898-1,Chuanshan College University Of South China,Nanhua Daxue Chuanshan Xueyuan,2001,,1,0,0,0,CHN,26.896899,112.590596
IAU-026899-1,"Beijin College, Hunan University Of Commerce",Hunan Shangxueyuan Beijin Xueyuan,2001,,1,0,0,0,CHN,28.218868,112.92016
IAU-026900-1,"Shuda College, Hunan Normal University",Hunan Shifan Daxue Shuda Xueyuan,2001,,1,6,0,0,CHN,28.167381,112.9314615
IAU-026901-1,Orient Science & Technology College Of Hunan Agricultural,Hunan Nongye Daxue Shuda Xueyuan,2002,,1,0,0,0,CHN,28.1844512,113.0821033
IAU-026902-1,"Furong College, Hunan University Of Science And Arts",Hunan Wenli Xueyuan Furong Xueyuan,2002,,1,5,0,1,CHN,29.02518,111.720481
IAU-026903-1,Hunan Polytechnic College Nanhu College,Hunan Ligong Xueyuan Huxueyuan,2002,,1,0,0,0,CHN,29.357379,113.1219452
IAU-026904-1,Nanyue College Of Hengyang Normal University,Hengyang Shifan Xueyuan Nanyue Xueyuan,2002,,1,15,0,0,CHN,26.864921,112.627289
IAU-026905-1,Applied Technology College Of Hunan Institute Of Engineering,Hunan Gongcheng Xueyuan Yingyong Jishu Xueyuan,2002,,1,0,0,0,CHN,27.8499561,112.9195085
IAU-026909-1,"Chengnan College, Changsha University Of Science & Technology",Changsha Ligong Daxue Chengnan Xueyuan,2003,,1,6,0,0,CHN,28.21299,112.916326
IAU-026910-1,Hunan Applied Technology University,Hunan Yingyong Jishu Xueyuan,2004,,1,9,0,0,CHN,28.989056,111.692068
IAU-026911-1,Hunan Institute Of Information Technology,Hunan Xinxi Xueyuan (HNUIT),1997,,1,6,0,1,CHN,28.320709,113.082738
IAU-026913-1,Hunan Institute Of Traffic Engineering,Hunan Jiaotong Gongcheng Xueyuan,1991,,1,8,0,1,CHN,26.912556,112.503536
IAU-026917-1,Harbin Institute Of Information Technology,Harbin Xinxi Gongcheng Xueyuan,1995,,1,5,0,1,CHN,45.77269,126.624446
IAU-026918-1,Qiqihar Institute Of Engineering,Qiqihar Gongcheng Xueyuan,1991,,1,6,0,1,CHN,47.302837,123.9653039
IAU-026921-1,Harbin Institute Of Petroleum,Harbin Shiyou Xueyuan,2003,,1,10,0,1,CHN,45.818325,126.64667
IAU-026922-1,Heilongjiang College Of Business And Technology,Heilongjiang Gongshang Xueyuan,2002,,1,0,0,0,CHN,45.87166,126.52562
IAU-026923-1,Harbin Far East Institute Of Technology,Harbin Yuandong Ligong Xueyuan,1994,,1,6,0,1,CHN,45.867197,126.532624
IAU-026924-1,Jiangxi University Of Engineering,Jiangxi Gongcheng Xueyuan,1983,,1,13,0,0,CHN,27.8051591,114.9434709
IAU-026925-1,Nanchang Institute Of Technology,Nanchang Ligong Xueyuan,1999,,1,17,0,1,CHN,28.676363,115.935491
IAU-026926-1,Jiangxi Institute Of Fashion Technology,Jiangxi Fuzhuang Xueyuan,1991,,1,5,0,1,CHN,25.848982,114.944437
