iau_id1,countrycode,latitude,longitude
IAU-024392-1,AGO,-7.6082329,15.052492
IAU-009078-1,ARG,-34.6417149,-58.4063908
IAU-009311-1,ARG,-34.5809267,-58.4231687
IAU-009313-1,ARG,-31.433833,-64.2757463
IAU-009320-1,ARG,-34.5547183,-58.4950883
IAU-009326-1,ARG,-34.5906668,-58.3929117
IAU-009346-1,ARG,-34.5680934,-58.4369261
IAU-009450-1,ARG,-34.6071826,-58.4269255
IAU-009454-1,ARG,-34.5997491,-58.3912518
IAU-009461-1,ARG,-32.9444102,-60.6421611
IAU-009468-2,ARG,-34.5947588,-58.3995393
IAU-013651-1,ARG,-34.6150543,-58.3657545
IAU-017112-1,ARG,-34.6219228,-58.3792525
IAU-017122-1,ARG,-32.0755298,-60.4650631
IAU-017170-1,ARG,-34.6173786,-58.3818095
IAU-017171-1,ARG,-34.6083741,-58.3969758
IAU-017179-1,ARG,-36.7260004,-56.6788536
IAU-017180-1,ARG,-34.4547474,-58.8606435
IAU-017207-1,ARG,-31.7270869,-60.5144501
IAU-017261-1,ARG,-34.6090219,-58.378698
IAU-017287-1,ARG,-31.4194196,-64.1868567
IAU-017291-1,ARG,-31.5399832,-68.5861233
IAU-017294-1,ARG,-34.924635,-57.950559
IAU-017298-1,ARG,-24.7399601,-65.3918447
IAU-017299-1,ARG,-31.6069793,-60.6710429
IAU-017302-017303-1,ARG,-27.7896781,-64.2417408
IAU-017302-017304-1,ARG,-24.1849134,-65.3027374
IAU-017302-017305-1,ARG,-31.2666711,-61.495111
IAU-017302-1,ARG,-27.7896781,-64.2417408
IAU-017352-1,ARG,-32.916904,-68.842569
IAU-017403-1,ARG,-34.5639014,-58.4438185
IAU-017407-1,ARG,-34.5998606,-58.3731144
IAU-017424-1,ARG,-34.5982262,-58.3870614
IAU-017434-1,ARG,-32.4815978,-58.229692
IAU-017435-1,ARG,-32.894923,-68.841673
IAU-017459-1,ARG,-34.6224448,-58.4463684
IAU-017479-1,ARG,-27.4752595,-58.8526136
IAU-017488-1,ARG,-34.5884596,-58.3831314
IAU-017509-1,ARG,-38.0026623,-57.5572351
IAU-017539-1,ARG,-32.891745,-68.8616388
IAU-017545-1,ARG,-34.6467476,-58.6201276
IAU-017565-1,ARG,-34.5973553,-58.4160651
IAU-017596-1,ARG,-34.4465869,-58.529389
IAU-017631-1,ARG,-32.8899257,-68.8364086
IAU-017642-1,ARG,-34.5986869,-58.3723514
IAU-017645-1,ARG,-32.956477,-60.6440785
IAU-017646-1,ARG,-34.6178532,-58.3707437
IAU-017666-1,ARG,-34.6053651,-58.38881
IAU-017674-1,ARG,-26.8328538,-65.2053298
IAU-017687-1,ARG,-34.6013439,-58.3915457
IAU-017740-1,ARG,-31.322187,-64.2219203
IAU-017768-1,ARG,-34.6148157,-58.3918371
IAU-017788-1,ARG,-27.3714132,-55.8955549
IAU-017878-1,ARG,-34.6139659,-58.3794865
IAU-017891-1,ARG,-32.8994071,-68.8101186
IAU-017940-1,ARG,-34.6104213,-58.4405302
IAU-018016-1,ARG,-28.4590057,-65.7832134
IAU-018017-1,ARG,-29.1565669,-67.4708345
IAU-018026-1,ARG,-31.4354855,-64.1855702
IAU-018027-1,ARG,-32.880732,-68.8779859
IAU-018030-1,ARG,-32.4840902,-58.2312867
IAU-018031-1,ARG,-26.1922042,-58.2002557
IAU-018032-1,ARG,-34.5231018,-58.7004776
IAU-018038-1,ARG,-24.1792858,-65.3246648
IAU-018041-1,ARG,-34.6707576,-58.5628052
IAU-018042-1,ARG,-36.6203554,-64.2932867
IAU-018043-1,ARG,-46.4336065,-67.5208076
IAU-018044-1,ARG,-54.8074963,-68.3256871
IAU-018045-1,ARG,-34.9132765,-57.9512474
IAU-018046-1,ARG,-29.4299009,-66.8687706
IAU-018047-1,ARG,-34.7355252,-58.3910807
IAU-018049-1,ARG,-34.7752894,-58.4524943
IAU-018050-1,ARG,-34.5773293,-59.0889671
IAU-018051-1,ARG,-38.005743,-57.5713091
IAU-018052-1,ARG,-27.4345919,-55.8877937
IAU-018056-1,ARG,-34.7065325,-58.2783994
IAU-018057-1,ARG,-33.1100555,-64.3017911
IAU-018058-1,ARG,-32.9503129,-60.6359993
IAU-018059-1,ARG,-24.7280425,-65.4093198
IAU-018062-1,ARG,-31.5372745,-68.5204732
IAU-018063-1,ARG,-33.2921332,-66.3396195
IAU-018064-1,ARG,-34.5789316,-58.526188
IAU-018066-1,ARG,-27.8015324,-64.2512233
IAU-018068-1,ARG,-34.6050016,-58.5630803
IAU-018070-1,ARG,-26.8363941,-65.2111515
IAU-018073-1,ARG,-32.3823013,-63.2607383
IAU-018076-1,ARG,-37.3287435,-59.138726
IAU-018083-018080-1,ARG,-38.940215,-68.0575081
IAU-018083-1,ARG,-38.940215,-68.0575081
IAU-018085-1,ARG,-31.6346034,-60.7051558
IAU-018086-1,ARG,-27.4640667,-58.8395797
IAU-018087-1,ARG,-34.571259,-60.9493834
IAU-018090-1,ARG,-38.701727,-62.270196
IAU-018136-1,ARG,-34.9120905,-57.9458033
IAU-018461-1,ARG,-34.6045622,-58.372774
IAU-018470-1,ARG,-34.5480059,-58.4469439
IAU-022216-1,ARG,-34.6055135,-58.3958925
IAU-023225-1,ARG,-34.6021779,-58.395111
IAU-023230-1,ARG,-34.7747628,-58.2675846
IAU-023231-1,ARG,-34.660772,-58.355591
IAU-023234-1,ARG,-40.8089756,-62.9938583
IAU-023237-1,ARG,-34.5210505,-58.7454128
IAU-023238-1,ARG,-54.8189811,-68.3257827
IAU-023239-1,ARG,-33.6680168,-65.4857535
IAU-023241-1,ARG,-26.8016559,-60.4470559
IAU-023242-1,ARG,-34.6649816,-58.6994123
IAU-023243-1,ARG,-34.651094,-58.7767131
IAU-023244-1,ARG,43.7840347,-79.2331848
IAU-023246-1,ARG,-26.829749,-65.2034751
IAU-023247-1,ARG,-27.4640667,-58.8395797
IAU-023249-1,ARG,-31.3382115,-64.2567197
IAU-001307-1,ARM,40.2198293,44.5631859
IAU-001312-1,ARM,40.1842484,44.5247352
IAU-001342-1,ARM,40.1786239,44.5203056
IAU-004904-1,ARM,40.202894,44.529795
IAU-006343-1,ARM,43.7315543,-79.2683854
IAU-006592-1,ARM,40.3672939,45.1236176
IAU-006667-1,ARM,40.1737156,44.5051973
IAU-006721-1,ARM,39.5175263,46.3452745
IAU-006920-1,ARM,40.8299782,43.8310516
IAU-006921-1,ARM,40.7920177,43.8481602
IAU-006936-1,ARM,40.1329125,44.5235217
IAU-007104-1,ARM,40.1930556,44.5044443
IAU-007105-1,ARM,40.2028351,44.5292588
IAU-007106-027143-1,ARM,40.1907108,44.5253928
IAU-007106-027144-1,ARM,39.2051907,46.4079002
IAU-007106-3,ARM,40.1907108,44.5253928
IAU-007109-027141-1,ARM,40.1920792,44.5234524
IAU-007109-027142-1,ARM,40.1920792,44.5234524
IAU-007109-1,ARM,40.1920792,44.5234524
IAU-007112-007111-1,ARM,40.8151875,43.8390538
IAU-007112-023195-1,ARM,40.1842484,44.5247352
IAU-007112-1,ARM,40.1842484,44.5247352
IAU-007582-1,ARM,40.2123725,44.5052407
IAU-007672-1,ARM,40.1748012,44.5229207
IAU-009526-1,ARM,40.1850728,44.5269029
IAU-010302-1,ARM,40.1752023,44.5238018
IAU-013508-1,ARM,40.1761641,44.5242766
IAU-014137-1,ARM,40.2105488,44.5034682
IAU-020124-1,ARM,40.1761641,44.5242766
IAU-020821-1,ARM,40.808888,44.4910813
IAU-020822-1,ARM,40.8094193,44.4883351
IAU-021686-1,ARM,40.1865993,44.5343476
IAU-021689-1,ARM,40.1901804,44.5222396
IAU-021692-021690-1,ARM,40.1894164,44.5166738
IAU-021692-021691-1,ARM,40.7926833,43.8459953
IAU-021692-1,ARM,40.1894164,44.5166738
IAU-021693-1,ARM,40.1894415,44.5212476
IAU-021694-1,ARM,40.2111708,44.4748181
IAU-021695-1,ARM,40.2001129,44.4760265
IAU-021700-021699-1,ARM,40.7926833,43.8459953
IAU-021700-1,ARM,40.1871479,44.5169637
IAU-021702-1,ARM,40.1842484,44.5247352
IAU-021704-1,ARM,40.186332,44.5268478
IAU-021705-1,ARM,40.1876424,44.5253454
IAU-021706-1,ARM,40.1902507,44.5221767
IAU-021707-021708-1,ARM,40.8704602,45.1429449
IAU-021707-1,ARM,40.1817804,44.5262435
IAU-021710-1,ARM,40.1899179,44.5192083
IAU-021711-1,ARM,40.182408,44.5058624
IAU-021713-1,ARM,40.1909132,44.5230331
IAU-021714-2,ARM,40.1875564,44.5106316
IAU-021717-1,ARM,40.2081474,44.5314851
IAU-023200-1,ARM,40.1928794,44.5092474
IAU-023201-1,ARM,40.1923593,44.4869627
IAU-023202-1,ARM,40.1791857,44.4991029
IAU-027042-1,ARM,40.2127027,44.5031266
IAU-023217-1,ABW,12.5234234,-70.0343574
IAU-023297-1,ABW,12.4416627,-69.9173836
IAU-001293-1,AUS,-27.3780232,153.0888676
IAU-001301-1,AUS,-34.9219842,138.5990746
IAU-001316-1,AUS,-33.0525229,151.4679585
IAU-001483-1,AUS,-13.0473303,131.0324998
IAU-001722-1,AUS,-28.0730934,153.4166377
IAU-001739-1,AUS,-37.8155203,145.1147375
IAU-002088-1,AUS,-23.3264685,150.5189408
IAU-002658-2,AUS,-12.3719948,130.8688636
IAU-002660-1,AUS,43.35775,-79.787687
IAU-003365-1,AUS,-32.0061951,115.8944182
IAU-003611-1,AUS,-38.14814,144.362881
IAU-004384-1,AUS,-31.7524902,115.7727799
IAU-006363-1,AUS,-35.000767,138.6111598
IAU-006790-1,AUS,-27.9617629,153.3805981
IAU-009807-1,AUS,-19.3258585,146.7566603
IAU-009969-1,AUS,-37.8091485,144.9803431
IAU-010775-1,AUS,-37.7218441,145.0499054
IAU-011136-1,AUS,-33.7738237,151.1126498
IAU-011383-1,AUS,-38.1890833,144.2983668
IAU-012023-1,AUS,-37.9145125,145.1349971
IAU-012227-1,AUS,-32.0679659,115.8352366
IAU-013847-1,AUS,-27.477617,153.0302635
IAU-013874-1,AUS,-33.818244,151.004689
