iau_id1,year,students5_estimated
IAU-004104-1,2005,2176
IAU-004104-1,2010,2540
IAU-004104-1,2015,3058
IAU-004104-1,2020,5305
IAU-004121-1,1950,
IAU-004121-1,1955,
IAU-004121-1,1960,
IAU-004121-1,1965,
IAU-004121-1,1970,
IAU-004121-1,1975,
IAU-004121-1,1980,
IAU-004121-1,1985,
IAU-004121-1,1990,
IAU-004121-1,1995,
IAU-004121-1,2000,
IAU-004121-1,2005,
IAU-004121-1,2010,
IAU-004121-1,2015,
IAU-004121-1,2020,
IAU-004122-1,1970,557
IAU-004122-1,1975,795
IAU-004122-1,1980,1077
IAU-004122-1,1985,1383
IAU-004122-1,1990,1966
IAU-004122-1,1995,2770
IAU-004122-1,2000,2870
IAU-004122-1,2005,3884
IAU-004122-1,2010,4855
IAU-004122-1,2015,6530
IAU-004122-1,2020,7618
IAU-004123-2,1950,
IAU-004123-2,1955,
IAU-004123-2,1960,
IAU-004123-2,1965,
IAU-004123-2,1970,
IAU-004123-2,1975,
IAU-004123-2,1980,
IAU-004123-2,1985,
IAU-004123-2,1990,
IAU-004123-2,1995,
IAU-004123-2,2000,
IAU-004123-2,2005,
IAU-004123-2,2010,
IAU-004123-2,2015,
IAU-004123-2,2020,
IAU-004147-1,1975,647
IAU-004147-1,1980,838
IAU-004147-1,1985,1033
IAU-004147-1,1990,1303
IAU-004147-1,1995,1595
IAU-004147-1,2000,1912
IAU-004147-1,2005,2223
IAU-004147-1,2010,2568
IAU-004147-1,2015,3057
IAU-004147-1,2020,7488
IAU-004148-1,1970,461
IAU-004148-1,1975,656
IAU-004148-1,1980,849
IAU-004148-1,1985,1044
IAU-004148-1,1990,1314
IAU-004148-1,1995,1605
IAU-004148-1,2000,1922
IAU-004148-1,2005,2231
IAU-004148-1,2010,2573
IAU-004148-1,2015,3057
IAU-004148-1,2020,5096
IAU-004155-1,2010,2509
IAU-004155-1,2015,3060
IAU-004155-1,2020,7754
IAU-004157-1,2010,2508
IAU-004157-1,2015,3060
IAU-004157-1,2020,7762
IAU-004162-1,2010,2508
IAU-004162-1,2015,3060
IAU-004162-1,2020,7762
IAU-004172-1,1950,
IAU-004172-1,1955,
IAU-004172-1,1960,49
IAU-004172-1,1965,58
IAU-004172-1,1970,62
IAU-004172-1,1975,79
IAU-004172-1,1980,83
IAU-004172-1,1985,123
IAU-004172-1,1990,150
IAU-004172-1,1995,218
IAU-004172-1,2000,369
IAU-004172-1,2005,510
IAU-004172-1,2010,775
IAU-004172-1,2015,971
IAU-004172-1,2020,1031
IAU-004173-1,1970,468
IAU-004173-1,1975,665
IAU-004173-1,1980,859
IAU-004173-1,1985,1055
IAU-004173-1,1990,1326
IAU-004173-1,1995,1616
IAU-004173-1,2000,1932
IAU-004173-1,2005,2240
IAU-004173-1,2010,2578
IAU-004173-1,2015,3057
IAU-004173-1,2020,7448
IAU-004179-1,1975,638
IAU-004179-1,1980,827
IAU-004179-1,1985,1022
IAU-004179-1,1990,1292
IAU-004179-1,1995,1584
IAU-004179-1,2000,1903
IAU-004179-1,2005,2215
IAU-004179-1,2010,2563
IAU-004179-1,2015,3057
IAU-004179-1,2020,5215
IAU-004186-1,1965,214
IAU-004186-1,1970,227
IAU-004186-1,1975,264
IAU-004186-1,1980,277
IAU-004186-1,1985,350
IAU-004186-1,1990,398
IAU-004186-1,1995,498
IAU-004186-1,2000,682
IAU-004186-1,2005,830
IAU-004186-1,2010,1067
IAU-004186-1,2015,1121
IAU-004186-1,2020,1184
IAU-004197-1,1985,990
IAU-004197-1,1990,1258
IAU-004197-1,1995,1551
IAU-004197-1,2000,1874
IAU-004197-1,2005,2190
IAU-004197-1,2010,2548
IAU-004197-1,2015,3057
IAU-004197-1,2020,7571
IAU-004198-1,1965,334
IAU-004198-1,1970,473
IAU-004198-1,1975,671
IAU-004198-1,1980,867
IAU-004198-1,1985,1063
IAU-004198-1,1990,1333
IAU-004198-1,1995,1624
IAU-004198-1,2000,1938
IAU-004198-1,2005,2245
IAU-004198-1,2010,2581
IAU-004198-1,2015,3057
IAU-004198-1,2020,7435
IAU-004207-1,1970,2827
IAU-004207-1,1975,2647
IAU-004207-1,1980,2414
IAU-004207-1,1985,2442
IAU-004207-1,1990,2387
IAU-004207-1,1995,2400
IAU-004207-1,2000,2458
IAU-004207-1,2005,2454
IAU-004207-1,2010,2473
IAU-004207-1,2015,1482
IAU-004207-1,2020,1459
IAU-004222-1,2005,2134
IAU-004222-1,2010,2516
IAU-004222-1,2015,3059
IAU-004222-1,2020,5409
IAU-004258-1,1995,1512
IAU-004258-1,2000,1838
IAU-004258-1,2005,2159
IAU-004258-1,2010,2530
IAU-004258-1,2015,3058
IAU-004258-1,2020,5346
IAU-004261-1,1950,30
IAU-004261-1,1955,29
IAU-004261-1,1960,78
IAU-004261-1,1965,127
IAU-004261-1,1970,196
IAU-004261-1,1975,250
IAU-004261-1,1980,302
IAU-004261-1,1985,353
IAU-004261-1,1990,405
IAU-004261-1,1995,456
IAU-004261-1,2000,508
IAU-004261-1,2005,559
IAU-004261-1,2010,611
IAU-004261-1,2015,652
IAU-004261-1,2020,692
IAU-004292-1,1990,1236
IAU-004292-1,1995,1530
IAU-004292-1,2000,1854
IAU-004292-1,2005,2173
IAU-004292-1,2010,2538
IAU-004292-1,2015,3058
IAU-004292-1,2020,5312
IAU-007886-1,1965,333
IAU-007886-1,1970,471
IAU-007886-1,1975,668
IAU-007886-1,1980,863
IAU-007886-1,1985,1059
IAU-007886-1,1990,1329
IAU-007886-1,1995,1620
IAU-007886-1,2000,1935
IAU-007886-1,2005,2242
IAU-007886-1,2010,2579
IAU-007886-1,2015,3057
IAU-007886-1,2020,5155
IAU-008065-1,1970,60
IAU-008065-1,1975,77
IAU-008065-1,1980,80
IAU-008065-1,1985,119
IAU-008065-1,1990,87
IAU-008065-1,1995,120
IAU-008065-1,2000,357
IAU-008065-1,2005,861
IAU-008065-1,2010,1534
IAU-008065-1,2015,2062
IAU-008065-1,2020,2458
IAU-008066-1,2010,2511
IAU-008066-1,2015,3059
IAU-008066-1,2020,5431
IAU-008084-1,1965,334
IAU-008084-1,1970,473
IAU-008084-1,1975,671
IAU-008084-1,1980,867
IAU-008084-1,1985,1063
IAU-008084-1,1990,1333
IAU-008084-1,1995,1624
IAU-008084-1,2000,1938
IAU-008084-1,2005,2245
IAU-008084-1,2010,2581
IAU-008084-1,2015,3057
IAU-008084-1,2020,5067
IAU-019477-1,1990,3411
IAU-019477-1,1995,4959
IAU-019477-1,2000,8376
IAU-019477-1,2005,11563
IAU-019477-1,2010,17581
IAU-019477-1,2015,22000
IAU-019477-1,2020,23368
IAU-019478-1,1995,4830
IAU-019478-1,2000,6716
IAU-019478-1,2005,8338
IAU-019478-1,2010,11041
IAU-019478-1,2015,13745
IAU-019478-1,2020,16448
IAU-019479-1,2005,3734
IAU-019479-1,2010,4759
IAU-019479-1,2015,6534
IAU-019479-1,2020,7698
IAU-019480-1,1980,317
IAU-019480-1,1985,466
IAU-019480-1,1990,570
IAU-019480-1,1995,828
IAU-019480-1,2000,1400
IAU-019480-1,2005,2128
IAU-019480-1,2010,2663
IAU-019480-1,2015,3330
IAU-019480-1,2020,3537
IAU-019483-1,1985,1300
IAU-019483-1,1990,1142
IAU-019483-1,1995,2303
IAU-019483-1,2000,3900
IAU-019483-1,2005,5502
IAU-019483-1,2010,7104
IAU-019483-1,2015,25260
IAU-019483-1,2020,35123
IAU-019485-2,1975,
IAU-019485-2,1980,
IAU-019485-2,1985,
IAU-019485-2,1990,
IAU-019485-2,1995,
IAU-019485-2,2000,
IAU-019485-2,2005,
IAU-019485-2,2010,
IAU-019485-2,2015,
IAU-019485-2,2020,40648
IAU-019494-1,2005,1504
IAU-019494-1,2010,1143
IAU-019494-1,2015,1144
IAU-019494-1,2020,
IAU-019495-1,2005,9517
IAU-019495-1,2010,14469
IAU-019495-1,2015,18107
IAU-019495-1,2020,19233
IAU-019499-1,1990,707
IAU-019499-1,1995,1114
IAU-019499-1,2000,1889
IAU-019499-1,2005,5815
IAU-019499-1,2010,9425
IAU-019499-1,2015,16222
IAU-019499-1,2020,22575
IAU-019502-1,1975,5484
IAU-019502-1,1980,6842
IAU-019502-1,1985,8674
IAU-019502-1,1990,15669
IAU-019502-1,1995,23201
IAU-019502-1,2000,32200
IAU-019502-1,2005,37370
IAU-019502-1,2010,40211
IAU-019502-1,2015,29742
IAU-019502-1,2020,31751
IAU-019539-1,1970,
IAU-019539-1,1975,
IAU-019539-1,1980,
IAU-019539-1,1985,
IAU-019539-1,1990,
IAU-019539-1,1995,
IAU-019539-1,2000,
IAU-019539-1,2005,
IAU-019539-1,2010,
IAU-019539-1,2015,
IAU-019539-1,2020,84512
IAU-019540-1,2015,14681
IAU-019540-1,2020,15594
IAU-019543-1,2010,33244
IAU-019543-1,2015,41600
IAU-019543-1,2020,44187
IAU-019544-1,1950,4361
IAU-019544-1,1955,5405
IAU-019544-1,1960,6336
IAU-019544-1,1965,6805
IAU-019544-1,1970,8666
IAU-019544-1,1975,9083
IAU-019544-1,1980,10208
IAU-019544-1,1985,16272
IAU-019544-1,1990,31156
IAU-019544-1,1995,48745
IAU-019544-1,2000,66334
IAU-019544-1,2005,77488
IAU-019544-1,2010,84352
IAU-019544-1,2015,91217
IAU-019544-1,2020,98081
IAU-019557-1,1995,4648
IAU-019557-1,2000,6860
IAU-019557-1,2005,9068
IAU-019557-1,2010,12621
IAU-019557-1,2015,15941
IAU-019557-1,2020,18533
IAU-019558-019612-1,1985,3453
IAU-019558-019612-1,1990,6227
IAU-019558-019612-1,1995,7713
IAU-019558-019612-1,2000,10355
IAU-019558-019612-1,2005,11413
IAU-019558-019612-1,2010,12472
IAU-019558-019612-1,2015,26860
IAU-019558-019612-1,2020,34889
IAU-019558-1,1995,910
IAU-019558-1,2000,1409
IAU-019558-1,2005,1966
IAU-019558-1,2010,2770
IAU-019558-1,2015,3683
IAU-019558-1,2020,
IAU-019561-1,1965,4583
IAU-019561-1,1970,5738
IAU-019561-1,1975,7232
IAU-019561-1,1980,8854
IAU-019561-1,1985,10000
IAU-019561-1,1990,11720
IAU-019561-1,1995,17589
IAU-019561-1,2000,23957
IAU-019561-1,2005,41473
IAU-019561-1,2010,39035
IAU-019561-1,2015,33070
IAU-019561-1,2020,27105
IAU-019565-1,1990,765
IAU-019565-1,1995,1790
IAU-019565-1,2000,3345
IAU-019565-1,2005,5263
IAU-019565-1,2010,8354
IAU-019565-1,2015,10768
IAU-019565-1,2020,13076
IAU-019588-1,2005,3360
IAU-019588-1,2010,5108
IAU-019588-1,2015,6393
IAU-019588-1,2020,6790
IAU-019593-1,2005,3734
IAU-019593-1,2010,4759
IAU-019593-1,2015,6534
IAU-019593-1,2020,7698
IAU-019617-1,1990,1095
IAU-019617-1,1995,1592
IAU-019617-1,2000,2690
IAU-019617-1,2005,4089
IAU-019617-1,2010,5117
IAU-019617-1,2015,6399
IAU-019617-1,2020,6797
IAU-019646-1,2015,6537
IAU-019646-1,2020,7779
IAU-019680-1,1975,494
IAU-019680-1,1980,601
IAU-019680-1,1985,828
IAU-019680-1,1990,1016
IAU-019680-1,1995,4567
IAU-019680-1,2000,9238
IAU-019680-1,2005,11517
IAU-019680-1,2010,14103
IAU-019680-1,2015,17047
IAU-019680-1,2020,19140
IAU-019681-2,1975,
IAU-019681-2,1980,
IAU-019681-2,1985,
IAU-019681-2,1990,
IAU-019681-2,1995,
IAU-019681-2,2000,
IAU-019681-2,2005,
IAU-019681-2,2010,
IAU-019681-2,2015,
IAU-019681-2,2020,
IAU-019685-1,1985,661
IAU-019685-1,1990,1212
IAU-019685-1,1995,1488
IAU-019685-1,2000,1985
IAU-019685-1,2005,2169
IAU-019685-1,2010,2613
IAU-019685-1,2015,4231
IAU-019685-1,2020,5171
IAU-019690-1,1980,443
IAU-019690-1,1985,757
IAU-019690-1,1990,1207
IAU-019690-1,1995,2070
IAU-019690-1,2000,3798
IAU-019690-1,2005,12760
IAU-019690-1,2010,22413
IAU-019690-1,2015,44655
IAU-019690-1,2020,68200
IAU-019691-1,1990,448
IAU-019691-1,1995,672
IAU-019691-1,2000,2130
IAU-019691-1,2005,4176
IAU-019691-1,2010,7588
IAU-019691-1,2015,10317
IAU-019691-1,2020,12002
IAU-019692-1,1990,1016
IAU-019692-1,1995,1477
IAU-019692-1,2000,2495
IAU-019692-1,2005,3793
IAU-019692-1,2010,4746
IAU-019692-1,2015,5935
IAU-019692-1,2020,6304
IAU-019711-1,1985,1316
IAU-019711-1,1990,1887
IAU-019711-1,1995,2683
IAU-019711-1,2000,2803
IAU-019711-1,2005,3817
IAU-019711-1,2010,4811
IAU-019711-1,2015,6531
IAU-019711-1,2020,7571
IAU-019717-1,1980,2260
IAU-019717-1,1985,5557
IAU-019717-1,1990,8452
IAU-019717-1,1995,11225
IAU-019717-1,2000,15496
IAU-019717-1,2005,23560
IAU-019717-1,2010,29482
IAU-019717-1,2015,36863
IAU-019717-1,2020,39156
IAU-019726-1,1980,5504
IAU-019726-1,1985,7001
IAU-019726-1,1990,10264
IAU-019726-1,1995,11695
IAU-019726-1,2000,14000
IAU-019726-1,2005,14750
IAU-019726-1,2010,16000
IAU-019726-1,2015,17250
IAU-019726-1,2020,18500
IAU-019731-1,1985,3676
IAU-019731-1,1990,7195
IAU-019731-1,1995,8495
IAU-019731-1,2000,11024
IAU-019731-1,2005,11585
IAU-019731-1,2010,12334
IAU-019731-1,2015,14252
IAU-019731-1,2020,15106
IAU-019732-1,1980,
IAU-019732-1,1985,
IAU-019732-1,1990,
IAU-019732-1,1995,
IAU-019732-1,2000,
IAU-019732-1,2005,
IAU-019732-1,2010,
IAU-019732-1,2015,
IAU-019732-1,2020,
IAU-019747-1,1990,6620
IAU-019747-1,1995,7994
IAU-019747-1,2000,10118
IAU-019747-1,2005,11010
IAU-019747-1,2010,11903
IAU-019747-1,2015,23250
IAU-019747-1,2020,25300
IAU-019752-1,1985,4470
IAU-019752-1,1990,5347
IAU-019752-1,1995,7017
IAU-019752-1,2000,10033
IAU-019752-1,2005,12800
IAU-019752-1,2010,17224
IAU-019752-1,2015,20167
IAU-019752-1,2020,22517
IAU-019753-1,1995,3636
IAU-019753-1,2000,5620
IAU-019753-1,2005,7295
IAU-019753-1,2010,10087
IAU-019753-1,2015,12320
IAU-019753-1,2020,13819
IAU-019770-1,1985,4894
IAU-019770-1,1990,5977
IAU-019770-1,1995,20133
IAU-019770-1,2000,20298
IAU-019770-1,2005,20263
IAU-019770-1,2010,14607
IAU-019770-1,2015,8597
IAU-019770-1,2020,5859
IAU-019774-1,2005,4974
IAU-019774-1,2010,6840
IAU-019774-1,2015,8488
IAU-019774-1,2020,10442
IAU-019777-1,2000,900
IAU-019777-1,2005,3187
IAU-019777-1,2010,6237
IAU-019777-1,2015,8542
IAU-019777-1,2020,10310
IAU-019778-1,2000,11285
IAU-019778-1,2005,12287
IAU-019778-1,2010,13290
IAU-019778-1,2015,26165
IAU-019778-1,2020,29428
